GEOID10,NAME10,NAMELSAD10,2014 BPDA Neighborhood
25025990101,9901.01,Census Tract 9901.01,(water)
25025000703,7.03,Census Tract 7.03,Allston
25025000704,7.04,Census Tract 7.04,Allston
25025000802,8.02,Census Tract 8.02,Allston
25025000803,8.03,Census Tract 8.03,Allston
25025010600,106,Census Tract 106,Back Bay
25025010701,107.01,Census Tract 107.01,Back Bay
25025010702,107.02,Census Tract 107.02,Back Bay
25025010801,108.01,Census Tract 108.01,Back Bay
25025010802,108.02,Census Tract 108.02,Back Bay
25025981501,9815.01,Census Tract 9815.01,Back Bay
25025010500,105,Census Tract 105,Back Bay
25025020101,201.01,Census Tract 201.01,Beacon Hill
25025020200,202,Census Tract 202,Beacon Hill
25025020302,203.02,Census Tract 203.02,Beacon Hill
25025981700,9817,Census Tract 9817,Beacon Hill
25025000100,1,Census Tract 1,Brighton
25025000201,2.01,Census Tract 2.01,Brighton
25025000202,2.02,Census Tract 2.02,Brighton
25025000301,3.01,Census Tract 3.01,Brighton
25025000302,3.02,Census Tract 3.02,Brighton
25025000401,4.01,Census Tract 4.01,Brighton
25025000402,4.02,Census Tract 4.02,Brighton
25025000502,5.02,Census Tract 5.02,Brighton
25025000503,5.03,Census Tract 5.03,Brighton
25025000504,5.04,Census Tract 5.04,Brighton
25025000601,6.01,Census Tract 6.01,Brighton
25025000602,6.02,Census Tract 6.02,Brighton
25025000701,7.01,Census Tract 7.01,Brighton
25025040100,401,Census Tract 401,Charlestown
25025040200,402,Census Tract 402,Charlestown
25025040300,403,Census Tract 403,Charlestown
25025040401,404.01,Census Tract 404.01,Charlestown
25025040600,406,Census Tract 406,Charlestown
25025040801,408.01,Census Tract 408.01,Charlestown
25025100100,1001,Census Tract 1001,Dorchester
25025100200,1002,Census Tract 1002,Dorchester
25025100300,1003,Census Tract 1003,Dorchester
25025090700,907,Census Tract 907,Dorchester
25025090901,909.01,Census Tract 909.01,Dorchester
25025091001,910.01,Census Tract 910.01,Dorchester
25025091100,911,Census Tract 911,Dorchester
25025091200,912,Census Tract 912,Dorchester
25025091300,913,Census Tract 913,Dorchester
25025091400,914,Census Tract 914,Dorchester
25025091500,915,Census Tract 915,Dorchester
25025090100,901,Census Tract 901,Dorchester
25025090200,902,Census Tract 902,Dorchester
25025090300,903,Census Tract 903,Dorchester
25025092400,924,Census Tract 924,Dorchester
25025100400,1004,Census Tract 1004,Dorchester
25025100500,1005,Census Tract 1005,Dorchester
25025100601,1006.01,Census Tract 1006.01,Dorchester
25025100603,1006.03,Census Tract 1006.03,Dorchester
25025100700,1007,Census Tract 1007,Dorchester
25025100800,1008,Census Tract 1008,Dorchester
25025091600,916,Census Tract 916,Dorchester
25025091700,917,Census Tract 917,Dorchester
25025091800,918,Census Tract 918,Dorchester
25025091900,919,Census Tract 919,Dorchester
25025092000,920,Census Tract 920,Dorchester
25025092101,921.01,Census Tract 921.01,Dorchester
25025092200,922,Census Tract 922,Dorchester
25025092300,923,Census Tract 923,Dorchester
25025030300,303,Census Tract 303,Downtown/Chinatown/Leather
25025070101,701.01,Census Tract 701.01,Downtown/Chinatown/Leather
25025070200,702,Census Tract 702,Downtown/Chinatown/Leather
25025050101,501.01,Census Tract 501.01,East Boston
25025050200,502,Census Tract 502,East Boston
25025050300,503,Census Tract 503,East Boston
25025050400,504,Census Tract 504,East Boston
25025050500,505,Census Tract 505,East Boston
25025050600,506,Census Tract 506,East Boston
25025050700,507,Census Tract 507,East Boston
25025050901,509.01,Census Tract 509.01,East Boston
25025051000,510,Census Tract 510,East Boston
25025051101,511.01,Census Tract 511.01,East Boston
25025051200,512,Census Tract 512,East Boston
25025981300,9813,Census Tract 9813,East Boston
25025981502,9815.02,Census Tract 9815.02,East Boston
25025981600,9816,Census Tract 9816,East Boston
25025010103,101.03,Census Tract 101.03,Fenway
25025010104,101.04,Census Tract 101.04,Fenway
25025010203,102.03,Census Tract 102.03,Fenway
25025010204,102.04,Census Tract 102.04,Fenway
25025010403,104.03,Census Tract 104.03,Fenway
25025010404,104.04,Census Tract 104.04,Fenway
25025010405,104.05,Census Tract 104.05,Fenway
25025010408,104.08,Census Tract 104.08,Fenway
25025980101,9801.01,Census Tract 9801.01,Harbor Islands
25025140102,1401.02,Census Tract 1401.02,Hyde Park
25025140105,1401.05,Census Tract 1401.05,Hyde Park
25025140107,1401.07,Census Tract 1401.07,Hyde Park
25025140201,1402.01,Census Tract 1402.01,Hyde Park
25025140202,1402.02,Census Tract 1402.02,Hyde Park
25025140300,1403,Census Tract 1403,Hyde Park
25025140400,1404,Census Tract 1404,Hyde Park
25025980700,9807,Census Tract 9807,Hyde Park
25025120103,1201.03,Census Tract 1201.03,Jamaica Plain
25025120104,1201.04,Census Tract 1201.04,Jamaica Plain
25025120105,1201.05,Census Tract 1201.05,Jamaica Plain
25025120201,1202.01,Census Tract 1202.01,Jamaica Plain
25025120400,1204,Census Tract 1204,Jamaica Plain
25025120500,1205,Census Tract 1205,Jamaica Plain
25025120600,1206,Census Tract 1206,Jamaica Plain
25025120700,1207,Census Tract 1207,Jamaica Plain
25025081200,812,Census Tract 812,Jamaica Plain
25025981000,9810,Census Tract 9810,Jamaica Plain
25025981800,9818,Census Tract 9818,Jamaica Plain
25025110103,1101.03,Census Tract 1101.03,Jamaica Plain
25025120301,1203.01,Census Tract 1203.01,Jamaica Plain
25025010300,103,Census Tract 103,Longwood Medical Area
25025100900,1009,Census Tract 1009,Mattapan
25025101001,1010.01,Census Tract 1010.01,Mattapan
25025101002,1010.02,Census Tract 1010.02,Mattapan
25025101101,1011.01,Census Tract 1011.01,Mattapan
