GEOID10,NAMELSAD10,Neighborhood,Population,Population Density,Housing Units,Pop per HU,Venue Count,Venue Density,Pop per Venue,Median Household Income,lon (4326),x,lat (4326),y,geometry (4326),Status
25025000401,Census Tract 4.01,Brighton,5672,34081.08,2965,1.91,6,36.05,945.33,72739,-71.14887088,322993.5196,42.34403243,4690211.271,POINT (-71.14887088438212 42.34403243146218),ok
25025000401,Census Tract 4.01,Brighton,5672,34081.08,2965,1.91,6,36.05,945.33,72739,-71.14710287,323145.9196,42.34644271,4690475.236,POINT (-71.14710287239375 42.34644270723027),ok
25025010802,Census Tract 108.02,Back Bay,3059,50961.13,2106,1.45,1,16.66,3059,131518,-71.08439353,328327.5196,42.35235464,4691003.165,POINT (-71.08439353483917 42.35235464121253),ok
25025050101,Census Tract 501.01,East Boston,5115,44192.88,1850,2.76,2,17.28,2557.5,51230,-71.03353427,332594.7196,42.3817941,4694170.739,POINT (-71.03353427045195 42.3817940966884),ok
25025051200,Census Tract 512,East Boston,2379,14951.74,1160,2.05,3,18.85,793,83952,-71.04224578,331832.7196,42.36499917,4692322.988,POINT (-71.04224578037312 42.36499917143268),problem
25025051200,Census Tract 512,East Boston,2379,14951.74,1160,2.05,3,18.85,793,83952,-71.04031925,331985.1196,42.36265634,4692059.023,POINT (-71.04031924833934 42.36265633654706),problem
25025051200,Census Tract 512,East Boston,2379,14951.74,1160,2.05,3,18.85,793,83952,-71.03662013,332289.9196,42.36272213,4692059.023,POINT (-71.03662012594991 42.3627221306367),problem
25025051200,Census Tract 512,East Boston,2379,14951.74,1160,2.05,3,18.85,793,83952,-71.03469387,332442.3196,42.36037919,4691795.059,POINT (-71.03469387229146 42.36037919431765),problem
25025081400,Census Tract 814,Roxbury,3003,12535.01,1462,2.05,4,16.7,750.75,55909,-71.09100269,327717.9196,42.32846275,4688363.52,POINT (-71.09100268824338 42.3284627512286),ok
25025081400,Census Tract 814,Roxbury,3003,12535.01,1462,2.05,4,16.7,750.75,55909,-71.08923284,327870.3196,42.33087218,4688627.484,POINT (-71.08923284141957 42.33087217931558),ok
25025081500,Census Tract 815,Roxbury,2134,16435.18,905,2.36,,,2134,36464,-71.09438433,327413.1196,42.31889239,4687307.661,POINT (-71.0943843305305 42.31889238729905),ok
25025081500,Census Tract 815,Roxbury,2134,16435.18,905,2.36,,,2134,36464,-71.0927724,327565.5196,42.3260533,4688099.555,POINT (-71.09277240247819 42.32605329783815),ok
25025081500,Census Tract 815,Roxbury,2134,16435.18,905,2.36,,,2134,36464,-71.09084527,327717.9196,42.32371131,4687835.59,POINT (-71.09084527436102 42.32371131263591),ok
25025081700,Census Tract 817,Roxbury,3820,15616.03,1599,2.39,5,20.44,764,32183,-71.08714855,328022.7196,42.32377869,4687835.59,POINT (-71.0871485519028 42.32377868703317),ok
25025081700,Census Tract 817,Roxbury,3820,15616.03,1599,2.39,5,20.44,764,32183,-71.08345182,328327.5196,42.32384594,4687835.59,POINT (-71.08345181679398 42.32384594234176),ok
25025081900,Census Tract 819,Roxbury,3115,18615.81,1397,2.23,,,3115,27745,-71.09245737,327565.5196,42.31655042,4687043.697,POINT (-71.09245737299521 42.31655042296155),ok
25025081900,Census Tract 819,Roxbury,3115,18615.81,1397,2.23,,,3115,27745,-71.08876107,327870.3196,42.31661784,4687043.697,POINT (-71.08876107347656 42.31661784016672),ok
25025082000,Census Tract 820,Roxbury,2815,18591.53,1278,2.2,1,6.6,2815,43077,-71.08313821,328327.5196,42.31434301,4686779.732,POINT (-71.08313821397125 42.31434300732676),ok
25025082000,Census Tract 820,Roxbury,2815,18591.53,1278,2.2,1,6.6,2815,43077,-71.07944202,328632.3196,42.31441012,4686779.732,POINT (-71.07944202169307 42.3144101213301),ok
25025082100,Census Tract 821,Roxbury,5025,35120.07,2117,2.37,4,27.96,1256.25,25125,-71.09037326,327717.9196,42.30945697,4686251.803,POINT (-71.09037326078369 42.30945697029688),ok
25025090100,Census Tract 901,Dorchester,4571,26485.56,1863,2.45,2,11.59,2285.5,34195,-71.08459417,328175.1196,42.30243073,4685459.91,POINT (-71.08459416785206 42.30243072593026),ok
25025090300,Census Tract 903,Dorchester,3179,21644.85,1268,2.51,1,6.81,3179,30975,-71.07751575,328784.7196,42.31206789,4686515.768,POINT (-71.07751575202528 42.31206788884361),ok
25025090300,Census Tract 903,Dorchester,3179,21644.85,1268,2.51,1,6.81,3179,30975,-71.07381968,329089.5196,42.31213482,4686515.768,POINT (-71.07381967968274 42.31213481873107),ok
25025090400,Census Tract 904,Roxbury,3659,22291.19,1294,2.83,3,18.28,1219.67,38750,-71.07574582,328937.1196,42.31447712,4686779.732,POINT (-71.07574581681605 42.31447711628186),ok
25025090400,Census Tract 904,Roxbury,3659,22291.19,1294,2.83,3,18.28,1219.67,38750,-71.07397575,329089.5196,42.31688632,4687043.697,POINT (-71.07397574906116 42.3168863183902),ok
25025091300,Census Tract 913,Dorchester,2499,24651.05,868,2.88,2,19.73,1249.5,41020,-71.06673856,329699.1196,42.32177136,4687571.626,POINT (-71.06673856296108 42.32177136046491),ok
25025091400,Census Tract 914,Dorchester,2741,21842.22,939,2.92,2,15.94,1370.5,45388,-71.0720496,329241.9196,42.31454399,4686779.732,POINT (-71.0720495993625 42.31454399218087),ok
25025091400,Census Tract 914,Dorchester,2741,21842.22,939,2.92,2,15.94,1370.5,45388,-71.07012359,329394.3196,42.31220163,4686515.768,POINT (-71.07012359477662 42.31220162957506),ok
25025091400,Census Tract 914,Dorchester,2741,21842.22,939,2.92,2,15.94,1370.5,45388,-71.07027939,329394.3196,42.31695314,4687043.697,POINT (-71.0702793864837 42.31695314029106),ok
25025091500,Census Tract 915,Dorchester,4370,28003.96,1653,2.64,,,4370,53651,-71.0664275,329699.1196,42.31226832,4686515.768,POINT (-71.06642749732926 42.31226832137448),ok
25025091900,Census Tract 919,Dorchester,3860,20742.04,1380,2.8,3,16.12,1286.67,54375,-71.07543348,328937.1196,42.30497412,4685723.874,POINT (-71.07543347583628 42.30497411919561),ok
25025091900,Census Tract 919,Dorchester,3860,20742.04,1380,2.8,3,16.12,1286.67,54375,-71.07350765,329089.5196,42.30263181,4685459.91,POINT (-71.07350765398749 42.30263180615599),ok
25025092000,Census Tract 920,Dorchester,4945,26151.77,1693,2.92,5,26.44,989,57214,-71.06965645,329394.3196,42.29794707,4684931.98,POINT (-71.0696564453557 42.29794707092371),ok
25025092000,Census Tract 920,Dorchester,4945,26151.77,1693,2.92,5,26.44,989,57214,-71.06596118,329699.1196,42.29801373,4684931.98,POINT (-71.06596118053135 42.2980137296214),ok
25025092300,Census Tract 923,Dorchester,2893,21846.66,1077,2.69,4,30.21,723.25,55469,-71.07689074,328784.7196,42.29306189,4684404.051,POINT (-71.07689074131083 42.29306189030875),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.09343921,327413.1196,42.2903837,4684140.087,POINT (-71.09343920803556 42.29038370319707),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.09167046,327565.5196,42.29279316,4684404.051,POINT (-71.09167046473327 42.2927931582927),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08974444,327717.9196,42.29045112,4684140.087,POINT (-71.08974444111017 42.29045111854365),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08781856,327870.3196,42.28810904,4683876.122,POINT (-71.08781856247057 42.28810904237729),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08604966,328022.7196,42.29051841,4684140.087,POINT (-71.08604966153685 42.2905184149404),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08412392,328175.1196,42.28817627,4683876.122,POINT (-71.0841239152346 42.28817627373525),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08428063,328175.1196,42.29292776,4684404.051,POINT (-71.08428062825465 42.29292776222345),problem
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.08235487,328327.5196,42.29058559,4684140.087,POINT (-71.08235486933786 42.29058559238619),ok
25025100100,Census Tract 1001,Dorchester,5510,13761.51,2047,2.69,3,7.49,1836.67,28659,-71.07866006,328632.3196,42.29065265,4684140.087,POINT (-71.0786600645355 42.29065265087987),ok
25025100200,Census Tract 1002,Dorchester,2787,20588.88,1013,2.75,,,2787,53269,-71.08589283,328022.7196,42.28576693,4683612.158,POINT (-71.08589282879221 42.28576692980147),ok
25025100200,Census Tract 1002,Dorchester,2787,20588.88,1013,2.75,,,2787,53269,-71.08219831,328327.5196,42.2858341,4683612.158,POINT (-71.08219831388418 42.28583409613062),ok
25025100400,Census Tract 1004,Dorchester,4865,20122.7,1830,2.66,5,20.68,973,68194,-71.07642238,328784.7196,42.27880734,4682820.264,POINT (-71.07642237932126 42.27880734499858),ok
25025100400,Census Tract 1004,Dorchester,4865,20122.7,1830,2.66,5,20.68,973,68194,-71.07272825,329089.5196,42.2788742,4682820.264,POINT (-71.07272824877987 42.27887419739631),ok
25025100400,Census Tract 1004,Dorchester,4865,20122.7,1830,2.66,5,20.68,973,68194,-71.06726472,329546.7196,42.28135003,4683084.229,POINT (-71.06726471975433 42.2813500271704),ok
25025100500,Census Tract 1005,Dorchester,5989,18058.98,2383,2.51,7,21.11,855.57,59913,-71.07480925,328937.1196,42.28596807,4683612.158,POINT (-71.07480924629094 42.28596807199044),ok
25025100500,Census Tract 1005,Dorchester,5989,18058.98,2383,2.51,7,21.11,855.57,59913,-71.06757557,329546.7196,42.29085311,4684140.087,POINT (-71.06757557473104 42.2908531126369),ok
25025100601,Census Tract 1006.01,Dorchester,5154,24157,2192,2.35,3,14.06,1718,76593,-71.05826103,330308.7196,42.28864356,4683876.122,POINT (-71.05826103267378 42.28864356280964),ok
